Timestep	AtRandomAverageReturn	AverageReturn	OptimalAverageReturn	AverageAccuracy	MaxReturn	Episodes	Exploration	LearningRate
10000	0.847713535446	1.12915312615	1.50789253199	0.6386	1.14888936209	1091	0.991	0.0001
20000	0.863771299542	1.10759168775	1.5236785472	0.6212	1.14888936209	1398	0.982	0.0001
30000	0.854161847586	1.0525238446	1.52324440919	0.5898	1.14888936209	1931	0.973	0.0001
40000	0.850466821506	1.05282091848	1.51625714055	0.5828	1.14888936209	2562	0.964	0.0001
50000	0.862922032265	1.08299592787	1.51715249217	0.6088	1.14888936209	3327	0.955	0.0001
60000	0.897424525779	1.0753877229	1.52178686957	0.6106	1.14888936209	4217	0.946	0.0001
70000	0.858158346914	1.06701217806	1.51069675063	0.5986	1.14888936209	5205	0.9369999999999999	0.0001
80000	0.85605162519	1.07648503284	1.49199568493	0.6078	1.14888936209	6298	0.9279999999999999	0.0001
90000	0.857876091048	1.09197498015	1.5183804532	0.6146	1.14888936209	7564	0.919	0.0001
100000	0.858926990278	1.06349017806	1.49666594724	0.6044	1.14888936209	8796	0.91	0.0001
110000	0.826691086487	1.03982461882	1.47651654604	0.6014	1.14888936209	10165	0.901	0.0001
