Timestep	AtRandomAverageReturn	AverageReturn	OptimalAverageReturn	MaxReturn	Episodes	Exploration	LearningRate
10000	0.870892530284	1.14362157482	1.52066545005	1.15563450731	1096	0.991	0.0001
20000	0.863513853037	1.10552468944	1.5203898649	1.15563450731	1442	0.982	0.0001
30000	0.871980294311	1.04254346287	1.52056649154	1.15563450731	1947	0.973	0.0001
40000	0.867908370705	1.02928581982	1.49651157152	1.15563450731	2627	0.964	0.0001
50000	0.845850567386	1.03772746836	1.49469091184	1.15563450731	3385	0.955	0.0001
60000	0.85711718428	1.05999119775	1.49924322081	1.15563450731	4228	0.946	0.0001
70000	0.866221710303	1.06131867251	1.50963373551	1.15563450731	5237	0.9369999999999999	0.0001
80000	0.851851885324	1.03349479507	1.47911390578	1.15563450731	6344	0.9279999999999999	0.0001
90000	0.843341339203	1.04803677019	1.492676558	1.15563450731	7516	0.919	0.0001
100000	0.819398191992	1.08978270785	1.50279847058	1.15563450731	8740	0.91	0.0001
110000	0.867586513601	1.09221473528	1.52306170261	1.15563450731	10080	0.901	0.0001
120000	0.864016024822	1.09512138165	1.52293841434	1.15563450731	11496	0.892	0.0001
130000	0.836231478721	1.08502574866	1.50158339077	1.15563450731	12953	0.883	0.0001
140000	0.878809565297	1.108792865	1.51809181604	1.15563450731	14520	0.874	0.0001
150000	0.839064795603	1.07185268811	1.49216068885	1.15563450731	16138	0.865	0.0001
160000	0.851679838014	1.10592792705	1.50084051721	1.15563450731	17780	0.856	0.0001
170000	0.871072085087	1.14090160897	1.51385692438	1.16279886775	19417	0.847	0.0001
180000	0.856076033042	1.13055203886	1.51548883915	1.16279886775	21124	0.838	0.0001
