Timestep	AtRandomAverageReturn	AverageReturn	OptimalAverageReturn	AverageAccuracy	MaxReturn	Episodes	Exploration	LearningRate
450000	2.88744956453	3.66206471604	4.15553795714	0.7228	3.6928132201	31214	0.595	0.0001
460000	2.87443342111	3.65698387084	4.14426332524	0.7243	3.6928132201	31984	0.586	0.0001
470000	2.83314424946	3.71711417885	4.17865326055	0.7294	3.72155605926	32767	0.577	0.0001
480000	2.7990308319	3.67751452009	4.1509139725	0.7216	3.72408362523	33580	0.5680000000000001	0.0001
490000	2.8375115989	3.64936171967	4.10939109849	0.7291	3.72408362523	34384	0.5589999999999999	0.0001
500000	2.79549318811	3.66687523979	4.09565609165	0.7362	3.72408362523	35175	0.55	0.0001
510000	2.78314746682	3.64674829658	4.09537025744	0.7298	3.72408362523	35981	0.5409999999999999	0.0001
520000	2.84158547763	3.7159158965	4.14464914362	0.7354	3.72408362523	36795	0.532	0.0001
530000	2.82015699144	3.73130013075	4.16329745409	0.7459	3.74091830948	37586	0.5229999999999999	0.0001
540000	2.86305127603	3.71699795569	4.13915493289	0.7415	3.74812689971	38405	0.514	0.0001
550000	2.85399507342	3.72705115204	4.13362954103	0.7481	3.74812689971	39203	0.5049999999999999	0.0001
560000	2.89494362406	3.78505744581	4.17072748722	0.7623	3.79260237437	39957	0.4959999999999999	0.0001
570000	2.84204207626	3.72389175406	4.11763706603	0.7601	3.79260237437	40765	0.487	0.0001
580000	2.77131964154	3.71188277043	4.10667641078	0.7563	3.79260237437	41540	0.478	0.0001
590000	2.81808466137	3.72484474795	4.12063696742	0.759	3.79260237437	42335	0.469	0.0001
600000	2.78705476719	3.74561525268	4.10457653867	0.7668	3.79260237437	43123	0.45999999999999996	0.0001
610000	2.84287557888	3.79186771848	4.10528221668	0.7731	3.79750678674	43851	0.45099999999999996	0.0001
620000	2.86753790314	3.80252008939	4.13276306906	0.7712	3.80501255825	44635	0.44199999999999995	0.0001
630000	2.85286116788	3.78980598941	4.1302507329	0.7737	3.82060506085	45409	0.43299999999999994	0.0001
640000	2.8201919982	3.80694335585	4.15588327461	0.7676	3.83318518722	46229	0.42399999999999993	0.0001
650000	2.82580852147	3.78425613439	4.12591405018	0.7739	3.83318518722	47008	0.4149999999999999	0.0001
660000	2.89135277127	3.84468707539	4.15499221807	0.7867	3.85197334555	47753	0.4059999999999999	0.0001
670000	2.85319175995	3.83557955271	4.14395974876	0.7843	3.8578744691	48531	0.3969999999999999	0.0001
680000	2.84996727897	3.83449102658	4.16422037543	0.7787	3.86379080852	49324	0.3879999999999999	0.0001
690000	2.85685894704	3.84887392165	4.1535852212	0.7865	3.8665402139	50043	0.379	0.0001
700000	2.86659217955	3.80995370411	4.10702568478	0.7922	3.86980930075	50774	0.37	0.0001
710000	2.84113550382	3.83758784317	4.12659952795	0.7879	3.86980930075	51584	0.361	0.0001
720000	2.84580675166	3.86127548984	4.14813632404	0.7928	3.87033401923	52330	0.352	0.0001
730000	2.86453436196	3.87744850929	4.14380103038	0.8074	3.88232463206	53040	0.34299999999999997	0.0001
740000	2.85555117992	3.87694882164	4.12679258772	0.8063	3.90273200969	53805	0.33399999999999996	0.0001
750000	2.892250309	3.92106554031	4.18426347308	0.8042	3.93118484681	54482	0.32499999999999996	0.0001
760000	2.88168870667	3.93177115946	4.18339262952	0.8137	3.963321154	55216	0.31599999999999995	0.0001
770000	2.83328364098	3.88844791257	4.12704057075	0.8116	3.963321154	55896	0.30699999999999994	0.0001
780000	2.85815739681	3.9012237894	4.13750883674	0.812	3.963321154	56649	0.29799999999999993	0.0001
790000	2.85044757935	3.90223683927	4.14927800908	0.8112	3.963321154	57340	0.2889999999999999	0.0001
800000	2.84163029815	3.88433663771	4.12207726387	0.816	3.963321154	58069	0.2799999999999999	0.0001
810000	2.85538237831	3.92290526617	4.14567519382	0.8223	3.963321154	58740	0.2709999999999999	0.0001
820000	2.83609258143	3.92321465709	4.16660607474	0.8176	3.963321154	59365	0.262	0.0001
830000	2.87580453136	3.95033798954	4.16317797304	0.8262	3.963321154	60072	0.253	0.0001
840000	2.84862483197	3.9624799565	4.15751153135	0.8372	3.97879024423	60751	0.244	0.0001
850000	2.83287869371	3.97494859403	4.16407449344	0.8385	3.99945642368	61374	0.235	0.0001
