Timestep	AtRandomAverageReturn	AverageReturn	OptimalAverageReturn	AverageAccuracy	MaxReturn	Episodes	Exploration	LearningRate
10000	2.81952206197	3.24921178878	4.19800103899	0.611674008811	-inf	454	0.991	0.0001
20000	2.82251754216	3.17561518797	4.16779273521	0.600808625337	-inf	742	0.982	0.0001
30000	2.79678871007	3.10698128845	4.14998928055	0.5891	3.1384446872	1117	0.973	0.0001
40000	2.81642566052	3.07594433897	4.13690599622	0.5865	3.1384446872	1602	0.964	0.0001
50000	2.86270911819	3.09138965273	4.13391417085	0.5922	3.1384446872	2088	0.955	0.0001
60000	2.85452938107	3.14638067823	4.13223233131	0.6044	3.15163967705	2623	0.946	0.0001
70000	2.85664483109	3.17717191773	4.13666232836	0.6088	3.20344799245	3197	0.9369999999999999	0.0001
80000	2.81371444974	3.15520129899	4.12622854798	0.6018	3.20344799245	3808	0.9279999999999999	0.0001
90000	2.80599385786	3.23164069952	4.14044571678	0.6135	3.237390403	4413	0.919	0.0001
100000	2.84495348178	3.18435167022	4.12806365497	0.6064	3.24106333698	5034	0.91	0.0001
110000	2.83849474622	3.24332922829	4.12780905825	0.6182	3.24725524698	5679	0.901	0.0001
120000	2.78682809844	3.23009397035	4.09749263641	0.6179	3.25975431908	6315	0.892	0.0001
130000	2.83152191063	3.23436539453	4.10181003509	0.6242	3.25975431908	6958	0.883	0.0001
140000	2.86285262009	3.30110587302	4.13333430851	0.6315	3.3039776746	7623	0.874	0.0001
150000	2.84460175427	3.3234591705	4.15373230956	0.6337	3.3585545974	8275	0.865	0.0001
160000	2.797315971	3.28895873679	4.12426437938	0.6258	3.3585545974	8967	0.856	0.0001
170000	2.75535926348	3.29518709677	4.08954603181	0.6344	3.3585545974	9681	0.847	0.0001
180000	2.8467682743	3.33604601544	4.1455227173	0.636	3.3585545974	10407	0.838	0.0001
190000	2.8484659886	3.36281679963	4.13481075222	0.6504	3.36857152977	11107	0.829	0.0001
200000	2.84911850846	3.35063300448	4.1386185246	0.6422	3.38191934394	11842	0.82	0.0001
210000	2.8049307276	3.36590911452	4.09148192205	0.6534	3.38191934394	12555	0.8109999999999999	0.0001
220000	2.83306177715	3.38743407407	4.08667373309	0.6495	3.40182603179	13288	0.802	0.0001
230000	2.83290117722	3.38173909575	4.09074608877	0.6543	3.41117944363	14006	0.7929999999999999	0.0001
240000	2.76849105479	3.37645759743	4.07212003254	0.6595	3.41117944363	14772	0.784	0.0001
250000	2.82688890007	3.455316267	4.13778640474	0.6711	3.46540105712	15532	0.775	0.0001
260000	2.89916723225	3.49254297256	4.17148376139	0.6703	3.50903153411	16264	0.766	0.0001
270000	2.82453601135	3.42492203348	4.12536482652	0.6585	3.50903153411	17034	0.757	0.0001
280000	2.83315178432	3.43422407541	4.11769761839	0.6637	3.50903153411	17810	0.748	0.0001
290000	2.80507226754	3.43839475623	4.10751244233	0.6661	3.50903153411	18604	0.739	0.0001
300000	2.82035802274	3.48003089093	4.14998845742	0.6704	3.50971699556	19388	0.73	0.0001
310000	2.84181582289	3.50398214911	4.13863784207	0.6787	3.52526007203	20154	0.721	0.0001
320000	2.80387231267	3.4833081865	4.0850140381	0.6802	3.52526007203	20944	0.712	0.0001
330000	2.8434725314	3.55913476838	4.13166459235	0.6914	3.56109497964	21723	0.703	0.0001
340000	2.80745987394	3.52342350056	4.1390396468	0.6847	3.57489152159	22503	0.694	0.0001
350000	2.81405021926	3.52592022124	4.12515036432	0.6865	3.57489152159	23289	0.685	0.0001
360000	2.81842360577	3.52069372983	4.1075749486	0.6923	3.57489152159	24070	0.6759999999999999	0.0001
370000	2.77976864198	3.4605587523	4.05752710008	0.6894	3.57489152159	24850	0.667	0.0001
380000	2.84146152867	3.57732417533	4.14833018034	0.6977	3.57874648502	25633	0.6579999999999999	0.0001
390000	2.82294979927	3.60344753298	4.13276606104	0.7102	3.61321681065	26420	0.649	0.0001
400000	2.82061503866	3.57948780298	4.10921890255	0.7133	3.61554786511	27218	0.6399999999999999	0.0001
410000	2.82304618661	3.63330539133	4.14690080026	0.7093	3.64131959097	28027	0.631	0.0001
420000	2.79964438785	3.57939379186	4.08922712507	0.7117	3.64131959097	28840	0.622	0.0001
430000	2.83465488775	3.63268119771	4.15408012449	0.7107	3.64131959097	29641	0.613	0.0001
440000	2.85459120213	3.60446708937	4.10824236692	0.7169	3.64131959097	30424	0.604	0.0001
